,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
0,January 2,2018,Oman,Bahrain,1,0,Gulf Cup,in Kuwait,15,-15,1528,1402,4,-5,75,107
1,January 2,2018,Iraq,United Arab Emirates,0,0,Gulf Cup,in Kuwait,0,0,1569,1563,0,0,68,71
2,January 5,2018,Oman,United Arab Emirates,0,0,Gulf Cup,in Kuwait,2,-2,1530,1561,0,0,75,71
3,January 7,2018,Estonia,Sweden,1,1,Friendly,in the United Arab Emirates,7,-7,1514,1818,2,0,79,20
4,January 11,2018,Finland,Jordan,2,1,Friendly,in the United Arab Emirates,7,-7,1602,1469,0,-3,65,90
5,January 14,2018,Indonesia,Iceland,1,4,Friendly,in Indonesia,-2,2,1231,1813,0,0,154,21
6,January 27,2018,South Korea,Moldova,1,0,Friendly,in Turkey,2,-2,1763,1330,1,0,24,123
7,January 28,2018,United States,Bosnia and Herzegovina,0,0,Friendly,in the United States,-4,4,1748,1727,-1,0,28,36
8,January 30,2018,Jamaica,South Korea,2,2,Friendly,in Turkey,5,-5,1570,1758,1,-1,68,25
9,January 30,2018,Azerbaijan,Moldova,0,0,Friendly,in Turkey,-2,2,1399,1332,-1,0,109,123
10,January 31,2018,Mexico,Bosnia and Herzegovina,1,0,Friendly,in the United States,7,-7,1855,1720,0,0,17,36
11,February 3,2018,South Korea,Latvia,1,0,Friendly,in Turkey,2,-2,1760,1360,0,0,25,120
12,February 26,2018,Saudi Arabia,Moldova,3,0,Friendly,in Saudi Arabia,4,-4,1578,1328,0,0,67,123
13,February 28,2018,Iraq,Saudi Arabia,4,1,Friendly,in Iraq,13,-13,1582,1565,3,-2,66,69
14,March 17,2018,Iran,Sierra Leone,4,0,Friendly,in Iran,2,-2,1801,1377,0,0,22,114
15,March 20,2018,Tahiti,New Caledonia,0,0,Friendly,in Tahiti,-3,3,1218,1214,-1,1,157,159
16,March 21,2018,Zambia,Zimbabwe,2,2,Friendly tournament,in Zambia,-5,5,1497,1477,-1,1,83,88
17,March 21,2018,Madagascar,Togo,0,0,Friendly,in France,0,0,1368,1384,0,0,119,111
18,March 21,2018,Laos,Cambodia,0,1,Friendly,in Laos,-12,12,770,822,0,0,212,208
19,March 21,2018,Jordan,Kuwait,1,0,Friendly,in Jordan,6,-6,1475,1427,0,-1,90,98
20,March 21,2018,Iraq,Qatar,2,3,Friendly tournament,in Iraq,-24,24,1558,1481,-5,6,71,86
21,March 21,2018,Antigua and Barbuda,Bermuda,3,2,Friendly,in Antigua and Barbuda,7,-7,1212,1189,1,-2,161,166
22,March 21,2018,Angola,South Africa,1,1,Friendly tournament,in Zambia,10,-10,1250,1530,2,-2,150,74
23,March 21,2018,Andorra,Liechtenstein,1,0,Friendly,in Spain,14,-14,1026,1154,0,-3,188,171
24,March 22,2018,Thailand,Gabon,0,0,King's Cup,in Thailand,-4,4,1403,1418,-1,1,106,102
25,March 22,2018,Slovakia,United Arab Emirates,2,1,King's Cup,in Thailand,8,-8,1756,1553,2,0,26,70
26,March 22,2018,Philippines,Fiji,3,2,Friendly,in the Philippines,10,-10,1169,1247,1,-6,168,151
27,March 22,2018,Nicaragua,Cuba,3,1,Friendly,in Nicaragua,13,-13,1280,1296,4,-4,138,131
28,March 22,2018,Malta,Luxembourg,0,1,Friendly,in Malta,-10,10,1206,1332,-4,1,162,123
29,March 22,2018,Malaysia,Mongolia,2,2,Friendly,in Malaysia,-9,9,1053,662,-2,0,185,224
30,March 22,2018,Macao,Mauritius,0,1,Friendly,in Macao,-3,3,675,1071,-1,1,223,181
31,March 22,2018,Kyrgyzstan,Myanmar,5,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in South Korea,26,-26,1233,1067,8,-5,154,182
32,March 22,2018,Faroe Islands,Latvia,1,1,Friendly,in Spain,2,-2,1283,1358,1,0,136,120
33,March 22,2018,Dominican Republic,Turks and Caicos,4,0,Friendly,in the Dominican Republic,1,-1,1251,763,1,0,149,213
34,March 22,2018,Denmark,Panama,1,0,Friendly,in Denmark,3,-3,1845,1669,0,0,18,48
35,March 22,2018,China,Wales,0,6,Friendly tournament,in China,-23,23,1541,1786,-3,1,72,23
